codigo,mensaje 1,mensaje 2,mensaje 3,mensaje 4,mensaje 5,mensaje 6
c22,"El alquiler de bus automático para prueba de manejo
vale 85 mil colones","💡💡💡 Por favor llenar el formulario de reservación para alquiler  

El sinpe móvil se hace al número 60023618  

https://forms.gle/v8BURKwGxLSVbgA98",record=c23=7200,reporte=contestaron mensaje sobre formulario de reservacion de bus automático,,
c23,"📌 Pudo completar la información que se pide en el
formulario de reservación de vehículos???",record=c24=7200,"reporte=Contestaron recordatorio sobre formulario de reservacion, revisar!",,,
c24,"📌 Hola!!!
No me dijo si pudo llenar el formulario de reservación
de vehículos",reporte=Contestaron recordatorio por formulario de reservación,,,,
c25,"*Tenemos un paquete para usted!!!*  

Le asesoramos y ayudamos obtener la cita de forma gratuita  

🖊 El alquiler del vehículo para *B1* o moto *A1-A2* vale 30 mil colones.  

🖊 El alquiler de moto para A3 vale 40 mil colones  

*INCLUYE:*  

🖊 Recorrido visual explicativo de la ruta oficial en la prueba de manejo  
🖊 Realizar 5 veces el circuito de conos y reversa en nuestro plantel de práctica.  
🖊 Alquiler de vehículo automático o moto A2.  

*Se cancelan 10 mil colones vía sinpe móvil al número 60023618 al inicio para hacer la reservación del espacio y el resto del dinero debe cancelarse en efectivo el día de la prueba.*  

Si usted no tiene cita agendada le podemos ayudar con la cita práctica normal sin costo adicional al pagar la reservación del vehículo  

Me envia la foto del depósito para hacerle la reservación","💡💡💡 Por favor llenar el formulario de reservación para alquiler  

El sinpe móvil se hace al número 60023618  

https://forms.gle/v8BURKwGxLSVbgA98",record=c26=7200,"reporte= Contestaron mensaje de formulario para alquiler o reservacion de carro, automovil o B1",,
c26,"📌 Pudo completar la información que se pide en el
formulario de reservación de vehículos???",record=c27=7200,"reporte= Contestaron recordatorio de formulario para alquiler o reservacion de carro, automovil o B1",,,
c27,"📌 Hola!!!
No me dijo si pudo llenar el formulario de reservación
de vehículos","reporte= Contestaron recordatorio de formulario para alquiler o reservacion de carro, automovil o B1",,,,
c28,"*Tenemos un paquete para usted!!!*  

🖊 El alquiler de moto *A1* vale 30 mil colones.  
(Se reserva con 10 mil colones)  

🖊 El alquiler de moto *A2* vale 30 mil colones.  
(Se reserva con 10 mil colones)  

🖊 El alquiler de moto para A3 vale 40 mil colones.  
(Se reserva con 10 mil colones)  

*INCLUYE:*  

🖊 Recorrido visual explicativo de la ruta oficial en la prueba de manejo  
🖊 Realizar 5 veces el circuito de conos y paralelas en nuestro plantel de práctica.  
🖊 Alquiler de moto A1-A2-A3.  

🎯 Sinpe al 60023618","💡💡💡 Por favor llenar el formulario de reservación para alquiler  

El sinpe móvil se hace al número 60023618  

https://forms.gle/v8BURKwGxLSVbgA98",record=c33=7200,"reporte= Contestaron mensaje sobre formulario para reservación de moto, A1, A2 o A3 con snipe 60023618",,
c28_1,"*Tenemos un paquete para usted!!!*  

🖊 El alquiler de moto *A1* vale 30 mil colones.  
(Se reserva con 10 mil colones)  

🖊 El alquiler de moto *A2* vale 30 mil colones.  
(Se reserva con 10 mil colones)  

🖊 El alquiler de moto para A3 vale 40 mil colones.  
(Se reserva con 10 mil colones)  

*INCLUYE:*  

🖊 Recorrido visual explicativo de la ruta oficial en la prueba de manejo  
🖊 Realizar 5 veces el circuito de conos y paralelas en nuestro plantel de práctica.  
🖊 Alquiler de moto A1-A2-A3.  

🎯 Sinpe al 61103205","💡💡💡 Por favor llenar el formulario de reservación para alquiler  


El sinpe móvil se hace al número 61103205


https://forms.gle/cNMDTRVbLL8yDH2X9 ",record=c33=7200,"reporte= Contestaron mensaje sobre formulario para reservación de moto, A1, A2 o A3 con snipe 61103205",,
c29,El alquiler de camión para B2 vale 55 mil colones ,"💡💡💡 Por favor llenar el formulario de reservación para alquiler  

El sinpe móvil se hace al número 60023618  

https://forms.gle/v8BURKwGxLSVbgA98",record=c33=7200,reporte= Contestaron mensaje sobre formulario para reservación para B2 o camión,,
c30,El alquiler de camión automático para B3 vale 75 mil colones.,"💡💡💡 Por favor llenar el formulario de reservación para alquiler  

El sinpe móvil se hace al número 60023618  

https://forms.gle/v8BURKwGxLSVbgA98",record=c33=7200,reporte= Contestaron mensaje sobre formulario para reservación para camión automático o B3,,
c31,El alquiler de camión para B4 (traíler) vale 130 mil colones,"💡💡💡 Por favor llenar el formulario de reservación para alquiler  

El sinpe móvil se hace al número 60023618  

https://forms.gle/v8BURKwGxLSVbgA98",record=c33=7200,reporte= Contestaron mensaje sobre formulario para reservación para B4 (trailer),,
c32,El alquiler de bus automático para prueba de manejo vale 85 mil colones.,"💡💡💡 Por favor llenar el formulario de reservación para alquiler  

El sinpe móvil se hace al número 60023618  

https://forms.gle/v8BURKwGxLSVbgA98",record=c33=7200,reporte= Contestaron mensaje sobre formulario para reservación de bus automático,,
c33,📌 Pudo completar la información que se pide en el formulario de reservación de vehículos???,record=c34=7200,reporte= Contestaron recordatorio sobre formulario para reservación de vehiculo,,,
c34,"📌 Hola!!!
No me dijo si pudo llenar el formulario de reservación
de vehículos",reporte= Contestaron recordatorio sobre formulario para reservación de vehiculo,,,,
